许可证,,,,,说明
,轻量版,标准版,企业版,,
价格,免费,"￥5,000/每服务", 联系我们,,
许可证类型,社区版许可证,商业版许可证, 商业版许可证,,
授权,永久,订阅/永久,订阅/永久,,
升级有效期,-, 1 年, 1 年,,
,,,,,
使用限制,,,,,
,轻量版,标准版,企业版,,
不限制用户数量,√,√,√,,
不限制应用数量,√,√,√,,
不限制数据量,√,√,√,,
为客户开发上层应用,√,√,√,,
在界面上使用自己的品牌信息,×,√,√,,
服务数限制,5,-,-,,指创建的独立逻辑服务单元，每一逻辑服务单元具有唯一 Service ID，并具备独立的访问入口、上游目标地址、鉴权或配额策略之一，API 服务、AI 模型代理服务、MCP 工具服务及其他通过网关对外暴露的能力均视为服务单元，服务数量以系统后台“服务管理”统计为准。
私有化,√,√,√,,
,,,,,
架构,,,,,
,轻量版,标准版,企业版,,
插件化架构,√,√,√,,
国产化支持,×,-,√,,
迁移和发布管理,×,-,√,,
多应用,√,√,√,,
集群架构,×,-,√,,
遥测,×,√,√,,
,,,,,
数据源,,,,,
,轻量版,标准版,企业版,,
MySQL,√,√,√,,
PostgreSQL,√,√,√,,
MariaDB,-,√,√,,
Rest API,-,√,√,,
KingBaseES,-,√,√,,
Oracle,√,√,√,,
ClickHouse,-,√,√,,
Doris,-,√,√,,
其他,-,√,√,,
,,,,,
AirBit AI Gateway,,,,,
,轻量版,标准版,企业版,,
多模型管理,√,√,√,,"将不同厂商API接口统一为OpenAI兼容格式
自动重组HTTP Body和Heade"
语义缓存,×,×,√,,"基于向量相似度的缓存
减少Token消耗，降低响应延迟"
AI防火墙,√,√,√,,数据进出企业边界的清洗
PII敏感数据脱敏,√,√,√,,识别并替换敏感信息
内容审核与阻断,√,√,√,,拦截特定关键词的Prompt
模型级故障转移,√,√,√,,主备模型链路配置
加权负载均衡,√,√,√,,分配不同模型的访问权重
Token级限流,√,√,√,,统计Token数量，配置消费限制
成本管理,√,√,√,,成本透明化与对比决策支持
,,,,,
AirBit AIO,,,,,
,轻量版,标准版,企业版,,
LLM 调用全链路追踪,√,√,√,,可追踪关键信息：输入、Prompt、RAG、模型、输出、性能、成本
,√,√,√,,支持多种调用方式：OpenAI SDK、自定义HTTP等
Prompt 管理,√,√,√,,"将 Prompt 当作可管理资产
多版本管理与在线编辑
预定义Prompt结构
强制添加系统提示"
RAG 专项可观测性,×,×,√,,透明化检索过程
质量评估,×,×,√,,"人工/自动评估
形成评估指标"
用户与行为分析,×,-,√,,用户提问与反馈分析
,,,,,
AirBit Apis,,,,,
,轻量版,标准版,企业版,,
多协议支持,√,√,√,,"HTTP/1.1, HTTP/2, HTTP/3 (QUIC), gRPC, WebSocket, MQTT, TCP/UDP, Dubbo"
gRPC转码,√,√,√,,自动转码为gRPC请求
动态流量管理,√,√,√,,轮询、带权轮询、一致性哈希、指数加权移动平均、最小连接数
高级路由策略,√,√,√,,基于 Host、URI、Header、Cookie、Method、IP、参数的精确匹配
灰度发布,×,√,√,,按流量百分比或用户ID、地区进行金丝雀发布
流量镜像,×,√,√,,真实流量复制至测试服务
健康检查,√,√,√,,主动和被动健康检查，自动剔除故障节点
服务熔断,√,√,√,,上游服务不可用时快速失败，防止雪崩
全动态能力,√,√,√,,路由、SSL证书、插件配置热加载
安全防护,√,√,√,,"身份认证：Key Auth、Basic Auth、JWT Auth、HMAC Auth、Forward Auth
OAuth/SSO：OpenID Connect对接
网络防护：IP限制、URI拦截、CORS、CSRF/XSS
数据脱敏：data-mask"
流量控制,√,√,√,,限流、请求/响应重写
链路追踪,√,√,√,,SkyWalking、Zipkin、Jaeger、OpenTelemetry
指标监控,√,√,√,,Prometheus、Datadog
日志集成,√,√,√,,Kafka、RocketMQ、Elasticsearch、Google Cloud Logging
Serverless集成,√,√,√,,直接触发云函数：AWS Lambda、Azure Functions、Apache OpenWhisk
应用地图,√,√,√,,观察企业内部各个系统的引用关系
告警,√,√,√,,多维度告警规则和告警记录
,,,,,
AirBit Eips,,,,,
,轻量版,标准版,企业版,,
企业集成模式(EIP),√,√,√,,"路由控制: Content-Based Router等
消息转换: Message Translator等
错误处理: Dead Letter Channel等"
连接器生态,√,√,√,,"支持协议: HTTP/HTTPS
支持服务: Kafka, Pulsar, AWS等"
触发器,√,√,√,,轮训、定时任务、MQ、WebHook
JSON DSL,√,√,√,,
AI自然语言转DSL,×,-,√,,
数据格式与类型转换,√,√,√,,"支持类型转换: 自动类型转换
支持数据格式: JSON, XML, YAML等"
,,,,,
AirBit Guardrails,,,,,
,轻量版,标准版,企业版,,
可编程围栏,×,×,√,,"定义讨论话题限制
强制输出风格和结构
拦截危险内容
执行条件操作"
输入与输出 Rail 类型,×,×,√,,分类保护逻辑：输入、对话、输出
多种 围栏库与插件,×,×,√,,越狱检测、内容审核、事实核查等
RAG 与事实一致性,×,×,√,,验证生成内容与知识的一致性
流式输出支持,×,×,√,,保证安全检测与低延迟响应
多模型与多框架兼容,×,×,√,,支持主流 LLM 包括 GPT 系列、LLaMA-2 等
微服务架构与性能优化,×,×,√,,支持 GPU 加速、并行策略执行
,,,,,
AirBit MCP Gateway,,,,,
,轻量版,标准版,企业版,,
MCP 路由管理,√,√,√,,功能点: 解析请求、多后端支持、工具路由
工具注册与管理,√,√,√,,功能点: 工具注册、版本管理、Prompt 管理
,√,√,√,,企业价值: 工具可控、规范化管理、支持审计
协议桥接,√,√,√,,功能点: REST、gRPC、CLI、SSE等协议转换为MCP
会话与上下文管理,√,√,√,,功能点: 多轮对话、会话隔离、生命周期管理
,√,√,√,,企业价值: 保证对话一致性、防止信息泄漏、支持并发安全调用
安全钩子,√,√,√,,功能点: 权限校验、策略集成、敏感操作拦截
可观测性钩子,√,√,√,,功能点: 调用日志、Trace、性能指标采集
,√,√,√,,企业价值: 支持审计与合规、运维监控、事故复盘
,,,,,
其他,,,,,
,轻量版,标准版,企业版,,
告警,√,√,√,,支持钉钉、企微、飞书、邮件
告警通道定制,×,-,√,,
,,,,,
支持,,,,,
,轻量版,标准版,企业版,,
邮件支持,√,√,√,,
专属和及时的 bug 修复,×,√,√,,
专属的使用咨询,×,-,√,,
专属的扩展开发咨询,×,-,√,,
优先排期新功能,×,-,√,,
电话支持,×,-,√,,
实时聊天支持,-,-,√,,
支持有效期,×,1年,√,,
咨询工单数量,×,√,√,,
扩展开发方案支持,×,-,√,,
首次响应时间,×,24H,4H,,
×,不支持,,,,
√,支持,,,,
-,付费支持,,,,
